,description,note
1055,Personnel très serviable et agréable Je ne captais pas dans la première chambre il ma changé de chambre pour me mettre sur la rue qui capte Leau nétait pas très chaude alors que je mettais à fond,6
1056,Le personnel d’accueil été parfait ils étaient tous très aimable La literie très confortable Les produits dans la salle de bain une excellente découverte Le seul bémol le manque de place entre le lit et le bureau beaucoup trop étroit Le quartier très animé hôtel très bien situé,10
1057,Hôtel très bien placé dans une rue calme Très bon accueil Chambre très confortables,10
1058,Hôtel entièrement refait à neuf reste la façade en cours de réfection Très propre chambre très spacieuse et confortable Le personnel est exceptionnel par sa gentillesse son accueil et sa disponibilité Le seul point négatif que jai pu constater concerne leau chaude qui arrive mais il faut attendre longtemps Je garde ladresse pour y retourner avec un très grand plaisir ,10
1059, thumbs up ,10
1060,Newly revamped hotel Nice design very friendly staff comfortable bed and super clean ,10
1061,Accueil chaleureux et personnalisé Personnel très aidant et à l’écoute des besoins Bon petit déjeuner varié et de bonne qualité Emplacement idéal dans un beau quartier de Paris avec plusieurs services autour Seul petit bémol  la chambre était très petite Toutefois je recommande chaudement cet établissement ,10
1062,Dommage même pas une bouteille d eau,8
1063,Une nuit amoureuse à loccasion dun anniversaire Laccueil excellent La chambre cosy mais un peu trop petite Le petitdéjeuner un peu cher pour la présentation ,8
1064,Petit hôtel de charme charmant Le personnel est tres chaleureux et attentif Lhotel est tres bien entretenu et propre Un excellent sejour Je recommande et je reviendrai,10
1065,Très bon accueil très bien situé prix correct,10
1066,Hôtel propre et calme personnel très sympa,10
1067,Séjour pour le travail  nuits Le personnel de laccueil est très gentil Chambre propre Chambre avec vue sur cour très calme Accès aux transports urbains facile,8
1068,Um hotel justo faz jus às  estrelas nem mais nem menos Bem localizado staff simpática Apertado mas confortável com tudo a funcionar,8
1069,Hôtel extrêmement bien situé avec une accessibilité optimale pour les transports  métro bus et train Quartier très commerçant et animé Hôtel confortable et bien équipé ,10
1070,Très bon séjour Le lit est confortable les chambres en excellent état avec WC japonais Épaisse moquette dans la chambre très propre et très bonne odeur en entrant dans la chambre Salle de bain très récente on nentend pas le bruit de la rue non plus Les espaces communs sont également très propres Le personnel est compétent et orienté service client ce qui est tout à fait appréciableTout est très bien pensé pour un séjour agréable Un  qui deviendra probablement un  très bientôt ,10
1071,L hötel est super laccueil très bien mais pour le le petit dejeuner il y a du boulot   il n y avait plus qu une sorte de fromage le pain était de la veille leau pour le thé était à peine chaude  la personne du petit déjeuner était sur son téléphone et ne demandait pas si on avait besoin de quelque chose  limite cela l embétait qu on soit là ,8
1072,Commodément situé et très propre,8
1073,Hotel tres agréable  personnel aimable et attentionné  Rien à  redire,10
1074,Hôtel très cosy propre et personnel très agréable ,10
1075,Très bel hôtel personnel très agréable et serviable  Une nuit au top ,10
1076,Mon séjour était génial,10
1077,Hotel bien placé personnel charmant et efficace un peu cher,10
1078,We cant wait to return,10
1079,Un accueil très appréciable une disponibilité au niveau du personnel seulement lhôtel est un peu vetuste des travaux devraient être fait à mon avis,6
1080,Hôtel très  bien placé  excellent petit déjeuner service sympathique et chambres propres,10
1081,Bel hôtel traditionnel dans un ancien bâtiment parisien d’où quelques soucis de bruit de chauffage dans les tuyauteries et léger odeurs de canalisation dans le couloir Sinon du charme de l’ancien service et accueil de très bon niveau Sans parler de l’emplacement à  pas de la Place Vendôme ,8
1082,séjour parfait non loin de la place Vendôme,10
1083,Séjour touristique en famille avec un enfant de trois ans Petit déjeuner parfait très bon service gentillesse amabilité Le service de nettoyage en chambre reste un peu limite  par l’efficacité et l’amabilité pour un  Globalement hôtel confortable mais qui fait son âge et mériterait un rafraîchissement mais reste dans sa catégorie très bien placé à  enjambées de la Place Vendôme,8
1084,Avoid this place  Our room was not clean when we arrived at h Room was nothing like the picture you can see on internet Only the location is nice,4
1085,Établissement très confortable chambre spacieuse et petit déjeuner excellent,10
1086,Comme dhabitude accueil excellent chambre propre et spacieuse,8
1087,Le location dans Paris la qualité du matelas et de la literie et la décoration sobre et contemporaine ,10
1088,Accueil au top Chambre agréable Hôtel très bien situé et au calme Je conseille vivement,10
1089,Bon accueil personnel sympa et bienveillant Hoel tres bien placé grans boulevards  Chambre un peu petite et vieillotte  Salle de bain moyen qq odeurs et innondation à chaque douche  Petit dej top ,8
1090,Très bon hôtel avec écoute et à accueil agréable Il est très rare que je recommande mais la très satisfait,10
1091,Toujours parfait,10
1092,Wonderful welcome and friendly and professional staff Everything was  satisfactory Thank you ,10
1093,Superbe décoration d’un goût exquis  Belle chambre et literie haut de gamme  Très belle salle de bain  Chambre supérieure  Petit déjeuner pourrait un peu mieux ,10
1094,Hôtel très bien situé chambre belle et spacieuse  Je recommande cet hôtel ,10
1095,Dans le coeur du quartier SaintGermain Hôtel cosy avec un personnel au petit soin,10
1096,Sejour tres agréable ,10
1097,Accueil chaleureux bel hôtel avec un excellent emplacement shopping et restaurants ,10
1098,Très bon hôtel dans le quartier de StGermain,10
1099,Hotel sans prétention bien placé ,6
1100,Le personnel est très professionnel et extrêmement sympathique C’est touchant Une petite rénovation de la plomberie serait la bienvenue Les chambres sont douillettes et pratiques Pour le quartier dont nous écumons les établissements c’est un excellent rapport qualité prix,8
1101,Séjour magnifique Tout était parfait ,10
1102,Hôtel très agréable idéalement situé Chambre très confortable et bien insonorisée ,10
1103,Très bien placé super quartier et hôtel confortable et calme je recommande ,8
1104,Séjour agréable Personnel au petit soin ,8
1105,Accueil chaleureux ,8
1106,Tout était parfait La chambre les déjeuners la propreté ,10
1107,Le personnel a posé difficulté quand à la chambre m informant le soir même alors que j étais avec mes enfants de l impossibilité de me loger  Ils ont recommencé le même demain soir  Pour pouvoir avoir accès à ma chambre j ai dû payer un supplément sinon je ne pouvais pas avoir ma chambre  Catastrophique et angoissant pour mes enfants ,2
1108,Hotel très bien situé entre République et Le Marais personnel sympa et disponible  ,10
1109,Une seule chose à dire quand j’ai réservée l’hôtel sur le site il y avait précisée parking alors qu’il y en avait pas dû me déplacer et payer très cher un parking par moimême  À part ça lame personnel très à votre écoute et près à vous aider La chambre mal isolée trop de bruit à l’extérieur,4
1110,excellent rapport qualité prix Très bon accueil Chambre confortable et calme même si isolation entre les chambres nest pas toujours parfaite Attention pas de climatisation,10
1111,Bon rapport qualité prix pour une chambre de ce niveau à Paris Hôtel bien situé et très bon service client ,10
1112,,10
1113,Everything that one would expect from an SLH with simply excellent staff An original concept welldesigned and integrated and superbly located for easy access to all the main tourist sites  either on foot or by the metro Some very much appreciated little touches that help make the hotel stand apart and add a personalisation to ones stay The dining area is very cosy but adequately sized for the number of guests and there is a lot of good faith imparted on the guest which is rare,10
1114,Nice stay Only spent two nights there but it was pleasant  Staff was nice  Nice boutique hotel in a central location It is a business district so on Sunday only few restaurants were available  Breakfast was good  Iron in the room would be appreciated    ,10
1115,Très bonne situation,8
1116,merci pour ce moment ce fut un plaisir je reviendrai pour la receptioniste,8
1117,Hôtel très agréable propre juste déçu par les  minutes de spa dont nous n’avons pas pu profité ,6
1118,Je vais à cet hotel depuis des années Très bien situé et toujours avec un excellent service,10
1119,Hotel pratique situé à  minutes à pied de la Gare Montparnasse Décoration contemporaine de qualité dans les communs et dans les chambres Personnel attentionné mais dommage qu’il n’y ait pas de barman au moins le weekend Une bonne adresse à Paris ,8
1120,Personnel très agréable chambre propre avec belle déco Lit confortable salle de bain avec baignoire top Dommage que le bruit de la rue et du resto en face soit trop présent,8
1121,Non prise en compte de la catégorie de chambre réservée Chambre à la décoration très sommaire Chambre supérieure sur rue au ieme étage très bruyante jusqu’au couvre feu de h Énorme araignée dans les draps à l’arrivée  Personnel très sympa  Je n’y retournerai pas ,6
1122,Changement d’hôtel appris au dernier moment soit disant surclassement dans une chambre sans nécessaire de courtoisiemachine à café minibar assez déçu car je voulais marquer le coup pour la saint Valentin  Ps  avoir froid pendant un massage n’est pas génial non plus ,6
1123,Une simple suggestion   pensez peutêtre au triple vitrage car il y a par moment un peu de bruit ,10
1124,L’espace de sport est vraiment minuscule et presque risible  Le mini bar n’a pas été rempli tous les jours En revanche les chambres sont confortables L’hôtel est facile d’accès et bien entretenu Personnel sympathique ,8
1125,Hôtel  sans service H De plus pas de chaîne TV de sport en plus de la tnt ,4
1126,Séjour fantastique personnel très agréable et prévenant chambre propre  Bon emplacement  ,10
1127,Excellent accueil  chouquettes offertes à l’arrivée emplacement idéal ,10
1128,Chambre trop petite,8
1129,RAS,10
1130,Un petit hôtel très agréable chambre un peu petite mais le rapport qualité prix est incontestable et les personnels sont tous plus agréables les uns que les autres  Seul regret une alèse au ressenti  « désagréable » et un lustre un peu bas et mal disposé nous sommes grands tous les deux et avons cessé de compter le nombre de fois où ce dernier est venu caresser nos fronts ,8
1131,Excellent hôtel Très bon petit déjeuner varié et de bonne qualite,10
1132,Pas de parking ,4
1133,Parfait sur tous les points Personnel dune extrême gentillesse Bon hotelscom vend le petitdéjeuner à   alors que lhôtel le propose à  € et surtout le continental que nous prenons toujours et avons pris à  €  Le quartier est top,10
1134,Très bon hôtel dasn lensemble séjour agréable Néanmoins service inégal selon les personnes à laccueil Dommage pour ce type détablissement compte tenu du prix ,8
1135,Hôtel très agréable situé dans un quartier calme personnel charmant discret et courtois ,8
1136,Lemplacement de cet hôtel est parfait à deux pas du Luxembourg et au croisement de  lignes de Métro et dune de RER Hôtel de charme chambres dune taille acceptable pour Paris et la rue lune des plus chère de Paris décoration dun goût parfait et bonne literie Jy descend toujours plaisir quand les prix sont doux Petit déjeuner plein dattention Hôtel romantique pour intellectuels amoureux,10
1137,Un boutique hôtel au cœur dune des rues les plus prisées de Paris et lune des plus calmes Calme confort luxe personnel charmant  lignes de métro et le RER à deux pas pour aller partout Et le jardin du Luxembourg à m m Chambres un poil petites mais confortables et élégantes Un hôtel de référence,10
1138,Locslusation de lhotel a paris ke decor de la chambre,8
1139,Suffisant pour une nuit en séjour affaire ,8
1140,Tres bien situé propre et super petit déjeuner ,10
1141,Très joli établissement très bien situé  Décoré avec goût  Salle de bain spacieuse mais douche très très petite Super literie ,10
1142,Deco sympa mais certainement pas un  etoiles,6
1143,Chambre agréable mais beaucoup de bruit sur la rue panne de wifi dans les chambres et ascenseur en panne  Pas de chance pour une première fois au panache ,8
1144,Hôtel bien placé dans un quartier avec de nombreux restaurants et bars Chambre et sdb plutôt petites décoration ok mais que je pensais plus moderne  neuve dans les chambres daprès les photos,8
1145,Staff at the reception desk is super friendly and helpful  The room is cosy as well as the hotel  HOWEVER the bed was a combination of smaller beds that made the combination super uncomfortable as both mattresses were not equal Unacceptable in a  star hotel ,6
1146,Bon sejour super emplacement,8
1147,Bel hôtel ère visite mais satisfait à la fois sur la chambre grande et  spacieuse pourun hôtel parisien et très bien équipée… et surtout surprenant pour un hôtel parisien un calme la nuit et le matin tôt vu sa position en impasse privée… à souligner l’accueil et l’attention des équipes Une décoration qui se fait sentir chez soi Bref rien à dire sinon que du bien ,10
1148,Hôtel calme ,10
1149,Hôtel en parfait état de propreté Très calme dans voie privée Personnel très accueillant et à l’ecoute,10
1150,Bel emplacement mais très difficile de se garer  Sauf aller dans parking payant bien dommage  Chambre très belle literie au top du top salle de bain très jolie  Ne pas prendre chambre sur rue  Coussins trop gros et durs dommage  Personnel très gentil ,8
1151,Hôtel bien situé  La chambre est propre et la cafetière est un plus Mettre une notice pour le coffre Manque un petit frigidaire  Chambre petit convient pour un court séjour  Literie moyenne le matelas n’est pas confortable ,8
1152,Nous avons passé  J agréables dans cet établissement malgré une insonorisation limite,8
1153,Très bon séjour dans cet hôtel proche de la tour eiffel Chambre agréable et avec un bon confort juste la douche qui inondé la salle petit travaux isolant à prévoir sous la porte de douche ,10
1154,Très bien confortable calme cependant une boîte de mouchoirs dans la chambre serait appréciée et un frigo ,10
1155,er séjour  une belle surprise  bien placé dans le quartier rue cler très sympa bon confort déco soignée bon ptit dej ils me reverront,10
1156,Très bon séjour Hôtel rénové Très bon ,10
1157,Hôtel très bien situé et très propre  Manque un frigo dans la chambre ,8
1158,No breakfast You have to go out and find a place to eat your breakfast ,4
1159,Le petit déjeuner buffet est décevant les petits pains devaient avoir au moins  jours pour du décongelé incompréhensible  Pas de pain au chocolat Très déçue pour €,10
1160,séjour correct dans lensemble sauf pour ce qui concerne le ménage   nombreux cheveux trouvés sur les oreillers et la tête de lit  la moquette et le revêtement tissu des chambres devraient être très vite remplacés par des matériaux appropriés et beaucoup plus hygiéniques ,6
1161,Séjour très agréable chambre confortable propreté impeccable personnel aimable,10
1162,Jolie chambreCalme Propre Peu despace pour se mouvoir Hotel à proximité du Jardin des PLantes Malheureusement la cafetière était en panne dans la chambre Hotel relié à la place Maubert et au Chatelet par la ligne   Bon séjour pour quelques joursPrix raisonnable ,8
1163,Tout était parfait  Chambre hyper propre et calme Personnel à vos petits soins……  OK hand  face savoring food ,10
1164,Hôtel propre personnel serviable Petit parking pratique supplément de €nuit Petit déjeuner de qualité jus d’oranges pressés viennoiseries fraîches…,10
1165,Bon emplacement et personnel sympathique et à l’écoute Sinon hôtel parisien en accord avec sa ville pas très propre et équipement qui saute bouilloire HS non remplacée après constat Il serait bon de préciser lors de la réservation que le parking est a réservé à l’avance et très petit ,6
1166,Hotel propre calme et silencieux,10
1167,bon séjour chambre agréable,8
1168,Excellent emplacement Staff très sympathique  spécialement le gars de nuit  Jaurais aimé un fer à repasser dans la chambre,10
1169,Jai apprécié tout dabord la proximité de létablissement avec les centre dintérêts parisiens  ensuite le prix raisonnable de lhébergement enfin le confort des chambres ,10
1170,Chambre  vu sur cours et mur à  mètre de la fenêtre …la cours est seulement l’emplacement de l’ascenseur… donc l’ascenseur circule devant la fenêtre… chambre très sombre et étouffante… horrible ,2
1171,Malheureusement c’est chère payé pour ce que c’est Quand nous avons une chambre au er étage quand les personnes prépare le petit déjeuner ou elles sont dans la biandrie,2
1172,Séjour sympathique hôtel super bien placé au cœur de paris et du marais  ,10
1173,Séjour agréable,8
1174,accueil rapide chambre propre mais nuisance des restaurants et bars dans la rue ,8
1175,Hôtel bien situé Personnel présent en cas de nécessité ,8
1176,Très bel établissement Chambre spacieuse et agreable belle déco et bonne insonorisation  ,10
1177,tout est parfait,10
1178,Hotel confortable bien situé et au calme Personnel serviable et avenant Juste un hic   lors du déclenchement intempestif dune alarme incendie au petit matin je me suis retrouvé seul client à descendre de ma chambre alors que lhôtel était complet ,8
1179,Séjour pour affaires à Paris Hotel très agréable avec une jolie chambre moderne et fonctionnelle ainsi quun petit balcon  Le personnel et la direction sont parfaits   gentillesse accueil professionnel et compétent Jai pu également profiter du hammam prévatif de lhôtel un plus après une journée de travail Je viens souvent à Paris et je reviendrai avec grand plaisir à lhôtel Orphée ,10
1180,The hotel was a let down It presents as a chic boutique hotel through their website and images but in reality is glorified student accommodation at best    They take full payment upfront at check in which is rather bizarre  The key card system was broken throughout our stay of  nights which meant staff had to accompany us to let us into our room every time we wanted to get  The rooms are not very clean The floor looked messy the loo had stains  The AC let out a damp and musty smell which meant we had to keep the windows open the whole time which meant it was very noisy from the busy street below   There is no kettle in the room to make tea they also don’t leave enough coffee pods or milk of any kind   The breakfast is not with EUR It’s very basic and in the basement   The staff are friendly and accommodating    ,4
1181,Do NOT stay here Mattress cover had blood stains from what looked like bedbugs see photo which I showed to reception lady before leaving after seeing this and they never refunded me what they promised Avoid at all costs This hotel should be kicked out of all the booking websites and I wish their general manager Patricia to get justice for treating a sick and sleepdeprived person so badly when I had to check in at am after having to flee another hygienedeficient hotel,2
1182,El personal es sumamente amable no hablaban español pero intentaban hacerse entender la ubicación del hotel es excelente a poca distancia del metro y las instalaciones muy agradables En mi experiencia totalmente recomendado,10
1183,Overview    I loved staying there — often times when I travel alone I value privacy This is a boutique hotel where you easily get to know everyone who works there fast Mrs Patricia is lovely and very welcoming She treats everyone with such good and warm care Everyone I met there was friendly helpful and wonderful This gave me the privacy I desired with enough contact to people to feel safe in my surroundings and taken care of  Rooms   The rooms have lovely decor They are doing some remodeling so everything has such attention to detail  from the carpet in the hallways to the hotel collateral such as card holders notepads pencils soaps and toiletries Just exceptionally we’ll decorated  Breakfast  Have breakfast here I only did it on the last day and I regret not doing it on other days They have your typique French breakfast and they bake fresh cake every day in different flavors  Location  The area is super close to Notre Dame and Le Jardin des plantes It’s a nice walk and the area is not too crowded Not going to lie I wish it was a bit closer to everything but if you want to stay in paris and not have the buzz and the noise from all the tourists this is your place   Overall I loved staying here and I look forward to coming back     ,10
1184,Hôtel dans une petite rue calme mais à proximité de toutes les commodités Chambre propre confortable et décoré avec goût Merci pour ce séjour,10
1185,Hotel très agréable chambre très confortable,10
1186,Cest super à part quil ny a pas de bureau dans la chambre Sinon cétait parfait,8
1187,Très belle découverte pour ce petit hôtel très bien situé à proximité de toutes commodité Personnel sympathique et disponible À recommander ,10
1188,Accueil limite Odeur dans la chambre qui aurai besoin d’être rafraîchie Ascenseur limite Pas de pain au p’tit dej J’en oublie Je ne reviendrai pas ,6
1189,tout simplement génial idéalement placé entre gare de lest et du nord et pourtant au calme zone piétonne ème étage avec balcon cadre superbe accueil au top franchement une vraie belle adresse ,10
1190,Superbe séjour dans cette hôtel à la décoration à tomber Très grand confort pour la literie on voudrait bien retrouver le même lit à la maison  Cest beau cest coloré une bulle de design parfaite ,10
1191,It was very long before getting my room Excessive waiting,4
1192,This hotel is unsafe  Keys to our room were issued to another guest at  midnight and they were allowed to come up to our room and enter it whilst we were in the room asleep  It was terrifying  The front desk gave a watered apology  They said they contacted management about the incident by email but were unable to provide even the full names of the management team  There did not appear to be any procedure with dealing with such an incident  nor an explanation of how a double key could be issued without a back up warning  A hotel should as a base line offer safety and security and should preserve the dignity of its guests  it has failed on all counts  There has been no reply to my emails and an refund has been refused  I am appalled ,2
1193,The hotel itself is fantastic but the location was far from a lot of the things to do in Paris It was a bit loud at night but expected for a train station hotel,8
1194,Great stay for one night,10
1195,Hôtel très agréable et petit déjeuner copieux Très bien situé,10
1196,Très bien  Accueil chaleureux ,10
1197,In a quiet street very convenient for subway Montparnasse station It brings you everywhere in Paris Grocery store shopping restaurant Short easy walk to Jardin du Luxembourg  night stay Large room large bathroom bathtub separate restroom Confortable bed AC Love that we can open the window Large breakfast  The staff is very nice and welcoming  We didnt use the parking but there is one Best stay in Montparnasse  rue de Rennes area,10
1198,Hôtel très bien situé à deux pas du Jardin du Luxembourg Chambres spacieuses Le petit déjeuner est tres bon ,10
1199,Déçus entre la différence sur les photos du site hotelcom et la réalité de la décoration de lhôtel tapisserie mobilier et décoration fatiguée Les coussins roses ont disparus En sus fenêtre en simple vitrage donc assez bruyant sur les chambres donnant sur lavenue,4
1200,Petit problème de service à mon arrivée pas de produits toilettes dans la chambre et produits de ménage toujours présents à mon arrivée Réaction rapide de la réception avec excuses et petit déjeuner offert Chambre propre mais petite ne correspond pas aux photos présentées par l’hôtel Hôtel très bien situé et bon accueil,8
1201,Hôtel très bien situé au pieds du métro et à proximité immédiate des principaux monuments et musée parisien,8
1202,Séjour agréable Chambre correcte car un peu vieillissante Personnel très agréable il manque par contre la climatisation,8
1203,Localisation parfaite dans le centre de Paris Accueil sympathique Bon rapport qualité  prix,8
1204,Bonne prestation avec chambre calme acceuil agréable,10
1205,PERSONNEL TRES SERVIABLE,8
1206,Lhôtel est stylé et très bien situé en plein coeur du quartier latin et à côté du jardin du Luxembourg et de léglise St Sulpice La chambre est agréable mais pas des plus spacieuses La salle de bain est lumineuse Bel endroit calme pour sejourner à Paris ,8
1207,"Hotel très bien entretenu mais les chambre sont petites et la notre face à lascenseur était bruyante Les portes claquaient fort Personnel très agréable  Le quartier est parfait ",8
1208,"Un hotel charmant dans un emplacement idéal Chambre petite mais suffisante pour dormir à Paris pour un prix très raisonnable Jy retournerai ",8
1209,Nuitée agréable dans une suite pleine de charme on se sent bien dans une bulle Lhôtel dispose dun emplacement idéal niché entre Odéon et le jardin du Luxembourg On aurait presque peur de revenir tant le souvenir est intact et quon appréhende que cela soit moins bien la fois suivante ,10
1210,Jolie chambre un peu petite pour y poser une grande valise Lit spacieux mais trèstrop mou Le personnel de réception est  adorable et disponible,8
1211,Le personnel est professionnel sympathique et disponible pour régler les problèmes La propreté de ma chambre nétait pas toujours bonne une journée pas de papier hygiénique laissé une autre pas de serviette une autre fois pas de papiers mouchoirs  ,8
1212,Sans climatisation  Sèche cheveux mural sans fonctionnement  État général de l hôtel totalement incompatible avec prix pratiqué ,2
1213,Hôtel vieillissant pas de climatisation très chaud dans la chambre  ils doivent faire des travaux  Prix de base indecent en relation a ce que l’on peut attendre  Point positif le manageur a été coopératif et rembourse un dédommagement  En attendant les travaux ils devraient pratiquer des prix bas ,4
1214,rien hélas nous avons changé detablissement hôtel sale pas de clim lit cassé sdb pas nettoyée pas de ménage dans les chambres pas la faute des employés qui essaient malgré tout de compenser mais pas suffisant cet hôtel nest pas du tout entretenu,2
1215,Bonjour   Nous avons passés notre séjours des  jours à Paris En général Hôtel est un peu vieux et il a besoin des rénovations  Salle de bain la prise n’est marché pas le bain n’est pas du tout confort  Les prises de la chambre fonctionne    L’équipe est vraiment très sympathique et accueillante Ils font un très bon service L’emplacement de l’hôtel est très pratique Tout est vraiment proche Environ  minutes de tout les monuments de Paris Tour d’Eiffel Notre dame Panthéon Louvre etc Également des restaurants qui sont juste en bas de l’hôtel   Brièvement les notes    L’état de la chambre  L’état de l’hôtel  L’équipe de l’hôtel  Les équipements de hôtel   L’emplacement de l’hôtel   En Général la note     ,6
1216,Hôtel vétuste propreté à revoir,4
1217,Professionnel avec ma collègue de travail  Tt le personnel de l hôtel est formidable et accueillant  Chambre beaucoup plus petite que sur l photos  Tt est bien métro tt près le seul bémol propreté de l chambre il y avait encore l shampoing des ex clients et un drap propre oublié ,8
1218,Panne dascenseur Pas de chauffage dans la chambre Pas de chauffage dans la Salle de Bain Pas deau chaude au labo Fuite flexible de douche  bonde de baignoire cassé pas de bain possible  En foit nous avons appris en fin de séjour que lhotel allait fermer pour gros travaux   pour le reste  literie et propreté ok  localisation OK  bruit  très calme car coté cour,4
1219,Chambre propre mais avec une odeur dhumidité quand on ouvre la porte Quelle déception pour un trois étoiles la housse de couette était usée et déchirée  Avons prévenu la réception le lendemain aucunes réaction du personnel pas dexcuses ni un geste commercial dommage petit déjeuner correct le plus une réduction sur le parking souterrain comme nous logions dans lhôtel ,6
1220,Idéalement placé Très bon hôtel digne d’un  étoiles en confort ambiance propreté… sauf pour le service petit déjeuner très décevant à cause d’un personnel non chaland à la limite de l’arrogance aucune réactivité produits finis non renouvelés Il faut repeter  fois pour avoir du lait chaud ou remplir les œufs brouillés…  Attention ils n’appellent pas de taxi classique mais passent par des partenaires qui surchargent les coursent vers les aéroports Orly a € au lieu de €,8
1221,X,8
1222,Hôtel très bien situé confortable très propre Accueil de haut niveau,10
1223,Hébergement bien situé proche du métro proche de la place Pigalle et du sacré coeur Calme car pas de bruit de ville mais plutôt des incivilités de la part des autres occupants a l étage  portes qui claquent arrivée tardive a h du matin coups dans le mur ect Chambre sympa Personnel très sympa Petit dej correct Serviettes changées tous les jours Les moins   manque de luminosité naturelle lavabo fendu tablette cassée recolée,8
1224,Hôtel bien situé dans Paris surtout près des salles de spectacles mais dans un état qui mérite un réel rafraichissement Eclairage de la chambre insuffisant Indigne dun  étoiles,6
1225,bonne accueil mais chambre glauque  ème lit de camp apparent  salle de bains avec des traces de moisi et du carrelage manquant dans les coins  heureusement  Pdj offert,4
1226,Chambre très sombre  rien à voir avec les photos  Très mal insonorisé on entendait absolument tout ,6
1227,Voyage en famille Cest la eme fois que nous réservons cet hôtel Très bien placé et très bon rapport qualitéprix,8
1228,Chambre petite et bruyante au dernier étage en raison du bruit qui reprend toute la nuit Manque un fruit au pdej mais bon jus doranges Accueil professionnel et sympathique surtout au pdej Hôtel bien situé,6
1229,Hôtel glauque qui tient plus de l’auberge de jeunesse que de l’hôtel ,2
1230, nuit pour le marathon de Paris très bon accueil emplacement pratique métro juste à côté en provenance de gare de Lyon et accès rapide à la ligne de départ en métro je suis même revenu à pied des champs  km Bon Pdj Wifi rapide chambre petite mais calme javais une chambre sur la cours intérieur Merci au personnel du dimanche qui ma laissé prendre une douche en milieu AM avant mon retour en province vraiment jai apprécié Je recommande Plein de restaurant à côté pour tout les goûts moi je suis allé mangé des pâtes chez Casa Cosa pas très loin super ,10
1231,Douche trop petite de moins de m   dangereux  Escalier etroit  Chambre trop petite et les clients HOTELSCOM ne sont pas mieux lotis ,6
1232,Sejour convenable très bon emplacement chambre spacieuse assez bonne literie  Le ciffre fort bloquer donc ne fonctionnait pas pas dampoules sur lampe de chevet dun côté  Petit déjeuner minimum pas trop de choix ,6
1233,Petit hôtel très bien situé Les chambres étaient propre Lisolation phonique entre les chambres laisse à désirer Heureusement quil ny avait pas de fête dans les chambres environnantes ,8
1234,Super situation pour cet hôtel face au jardin des plantes La proximité avec le métro est idéale A quelques mètres vous vous trouvez au cœur du quartier vivant et avec de nombreux restaurants Si vous avez la chance vous croiserez peut être un chanteur français connu habitant le quartier    La chambre est correcte Le personnel et disponible et agréable On y reviendra sûrement  ,8
1235,Chambre très agréable   parquet dans la chambre Jolie SDB Couleurs chambre agréable Le petit déjeuner pourrait être amélioré ,8
1236,Hôtel sympa proche de la rue Mouffetard et du jardin des plantes Déco moderne,8
1237,L’emplacement parfait près des métros restos et attractions touristiques La chaleur dans la chambre sans ventilation autre que la fenêtre ce qui était bruillant la nuit  et air climatisé coupé en automne seulement chauffage disponible,8
1238,Tres bon accueil et très propre la chambre Aucun problème,10
1239,Boutique Hôtel bien fait,10
1240,Personnel au top super sympa souriant dynamique  ,10
1241,Séjour fantastique  Je recommande  Situation accueil infrastructures hôtel petit déjeuner  propreté  Bravo  thumbs up  clapping hands ,10
1242,Idéalement situe déco superbe staff au top,10
1243,Hotel très bien situé et propre lit confortable et personnel souriant ,10
1244,Accueil et personnel aux petits soins,8
1245,Jai apprécié lemplacement,8
1246,Un grand merci au personnel du petit dejeuner et du bar toujours souriant a l ecoute et vraiment adorables toujours un mot gentil et qui prennent le temps de discuter  ,10
1247,Bel hotel situé a  pas de Republique  Avec un parking ce qui est precieux dans le quartier Chambre un peu petite pour un  etoile,8
1248,pour un étoiles lodeur de la vielle chambre était horrible  manque daération la télécommande de la télé était vraiment désagréable le repas nulle le vin était top  mais ce qui ma dérangé le plus cest lodeur  des fois je me demande si il ny a pa s de chambre réservé a expédia   manque de considération total,4
1249,Propre calme et super confortable  Personnel agréable,10
1250,Très bien rien à redire  Tout était parfait ,10
1251,Très correct propre personnel très aimable chambre donnant sur cour intérieure très calme  excellent rapport qualitésituationprix pour Paris,10
1252,Super équipe  et disponible hôtel propre Grand plus  accueil cafe thé biscuit offert   et même le petit frigo dans la chambre ,10
1253,Excellent accueil Hôtel bien placé Refait à neuf chambres impeccables Equipements de belle qualité Service au Top Séjour hyper réussi,10
1254,L’ accueil est excellent La propreté au top Seul petit bémol serait la salle de bain que je trouve un peu juste,10
1255,Agreable hotel se démarque par ses services mini bar soft et viennoiseries  Bon petit déjeuner  De plus bien placé ,10
1256,Avis mitigé grand merci à l’équipe de réception qui sont compétents et très agréable En revanche l’hôtel est situé dans une rue pas très fréquentable et très bruyante Bar ouvert avec musique jusqu’à très tard et très tôt le matin réveillé par une voiture qui se croit tout seul avec musique à fond Pas très reposant comme nuit,8
1257,Personnel serviable petite friandise pour la saint Valentin à notre arrivée dans la chambre mais déçu du petit déjeuner niveau qualité prix  ,8
1258,Personnel accueillant  lits confortables mais ça ne compense pas pour le quartier non sécuritaire surtout le soir et ce nest pas très propre Nous avons été déçu cest très loin de lopéra,6
1259,Bonne emplacement service impaccable et chambre très belle,10
1260,Chambre pas très bien insonorisée par rapport à l’ascenseur mais en dehors de ça très bien ,6
