,rating,description
3,10/10 Exceptionnel,
4,10/10 Exceptionnel,
5,10/10 Exceptionnel,"Bien situé, très calme, personnel prévenant"
6,4/10 Correct,
7,8/10 Très bien,"Bon séjour dans cet hotel, l'établissement est bien placé et le personnel accueillant et à l'écoute.
Petit bémol concernant l'entretien, les finitions intérieures sont à revoir (papiers peints, etc)."
8,6/10 Bien,"Dommage que les communs de cet hotel soient si peu entretenus et accueillants: l'entrée extérieure,le hall d'entrée, les couloirs conduisant aux chambres, l'ascenceur, sont à la limite de la propreté. Dommage car la chambre et la salle de bain sont nickel: propres, déco sympa, confortables, bien équipées. Et l'accueil impeccable."
9,8/10 Très bien,
0,10/10 Exceptionnel,
1,8/10 Très bien,
2,10/10 Exceptionnel,
3,4/10 Correct,Pas de parking
4,6/10 Bien,"Séjour très agréable même si la petite taille de la chambre faire un peu « tiquer » au regard du prix.
Un bémol : l’accueil du petit déjeuner était catastrophique. Une seule personne pour accueillir les hôtes dans un espace très exigu. Elle était débordée : pas le temps de débarrasser, d’accueillir, de servir même le minimum. Après 10mn d’attente, j’ai du réclamer assiette et couverts que l’on m’a donnés en cuisine, pas de serviette disponible, j’ai accepté le sopalin de l’évier…. Bref, à revoir."
5,10/10 Exceptionnel,
6,6/10 Bien,
7,6/10 Bien,
8,10/10 Exceptionnel,"Hôtel parfait pour un séjour en famille nous avons beaucoup aimé l’emplacement, la déco, le lavabo adapté à la taille des enfants, les chambres communicantes et les petites attentions dans la chambre. À recommander pour un séjour en famille "
9,10/10 Exceptionnel,
0,8/10 Très bien,Hôtel très bien situé nous avons subit une alerte incendie à 5h du matin même si la direction n'ai pas responsable il serait bien que la direction communique quelques mots pour ses clients c'est un minimum 
1,10/10 Exceptionnel,
2,8/10 Très bien,
3,10/10 Exceptionnel,
4,8/10 Très bien,
5,10/10 Exceptionnel,
6,10/10 Exceptionnel,"L'hôtel est très bien situé géographiquement. Le personnel est accueillant et serviable. Bien que la chambre soit petite, elle est confortable et décorée avec goût. 
Le petit déjeuner est servi sous forme de mini buffet avec de bons produits (fruits frais, viennoiseries...)"
7,8/10 Très bien,"Bonne hotel, le moins cher du secteur seul bémol j'ai retrouvé des cheveux /poil qui n'étais pas à moi ni à ma copine... Et aussi j'avais une vu sur la fenêtre d'un voisin, niveau vie privé c'est pas top... "
8,8/10 Très bien,
9,8/10 Très bien,la situation de l'hotel.
0,8/10 Très bien,
1,6/10 Bien,
2,8/10 Très bien,
3,8/10 Très bien,
4,10/10 Exceptionnel,Un oasis de charme 
5,8/10 Très bien,Nuitée très rapide lors du reveillon de la saint sylvestre
6,10/10 Exceptionnel,
7,6/10 Bien,
8,10/10 Exceptionnel,Très bon accueil de Jean François le reste fut à l’image de sa gentillesse et son professionnalisme 
9,6/10 Bien,"Gros bémol sur la taille de la chambre, très (trop) petite a notre goût! "
0,10/10 Exceptionnel,"Nous avons beaucoup apprécié notre séjour à l'hôtel Victoire & Germain pour de multiples raisons : sa situation (au calme au milieu d'un quartier animé), la chaleur de l'accueil, l'équipement et la taille de la chambre, la qualité de la literie et le choix offert au petit déjeuner. "
1,10/10 Exceptionnel,"Equipe très sympa et efficace. Hotel silencieux c’est très rare!
Un séjour extrêmement bien!"
2,2/10 Médiocre,Une chambre au dessus d’une discothèque. Impossible de dormir jusqu’à 3 heures du matin
3,10/10 Exceptionnel,Nous étions à la chambre 20 et nous y avons passé une semaine. Très bien et très bien situé. Le seul défaut était que nous entendions légèrement la musique du bar adjacent du jeudi au samedi soir. 
4,8/10 Très bien,
5,10/10 Exceptionnel,
6,8/10 Très bien,
7,10/10 Exceptionnel,"Très bel hotel rénové ouvert il y a seulement quelques années donc tout est quasi neuf.
Bien que petite, la chambre est très correcte en taille, la douche à l'italienne et la sdb très esthétique.
L'accueil et le service de ce petit hotel très agréable.
Le pdj est vraiment très bien avec jus d'orange pressé frais, omelette, etc
et évidement le quartier qui est génial pour sortir et central pour tous type d'activités!"
8,8/10 Très bien,"Grande chambre lumineuse, literie très ocnfortable"
9,8/10 Très bien,
0,8/10 Très bien,
1,10/10 Exceptionnel,"Très bon accueil, belle chambre, hôtel silencieux et petit déjeuner top"
2,10/10 Exceptionnel,
3,10/10 Exceptionnel,
4,10/10 Exceptionnel,Très bon accueil 
5,8/10 Très bien,"Le séjour répond aux attentes. La chambre est propre, parfaitement propre. Les lits super confortables, la salle de bain impeccable et très classe. L’hôtel est parfaitement situé, et l'animation du soir est très sympa dans le quartier. Le petit déjeuner a été servi pile à l'heure indiquée.

Petits points négatifs: pas de bouilloire + café ou thé (assez dommage pour un 4*). Vue sur un bâtiment délabré (alors que l’hôtel est très bien situé, dommage).
Sentiment d'avoir été placé dans une chambre paumé de l'établissement alors qu'il était vide. Et petit déjeuner assez pauvre (à mettre sur le compte du virus, donc contraint d'être servi dans la chambre).

Globalement, le séjour fût agréable et le personnel sympathique et très serviable.


"
6,8/10 Très bien,Hôtel très bien situé ; proche des grands magasins et opéra ; très bel hôtel avec de belles chambres 
7,8/10 Très bien,"Chambre agréable, calme avec petite cour intérieur. Pour le room service cela dépend de l'humeur du personnel"
8,10/10 Exceptionnel,
9,8/10 Très bien,"Séjour très agréable.
Hôtel super bien placé, choisi pour sa proximité avec l’Olympia et avec les grands magasins.
Personnel très agréable.
Chambre confortable et calme.
Super petit déjeuner, la salle est très agréable et le buffet copieux et complet.
Je recommande ++++"
0,8/10 Très bien,Hôtel confortable. Le gros souci concerne le métro. Le passage de chaque rame est bruyant et les vibrations nettement ressenties. Petit bémol sur le petit-déjeuner non pris et qui ne peut être remboursé
1,6/10 Bien,"Hôtel bien placé mais literie très dure et beaucoup de bruits : vibrations du métro, aération dans la salle de bain en continu."
2,8/10 Très bien,
3,6/10 Bien,"Chambre supérieure correcte mais sans plus...vieillot..
Du bruit permanent la nuit car pas de double vitrage...des qu'une voiture passe sur les paves...le pire..c'est le grondement du metro dans les murs
Mauvaise expérience "
4,4/10 Correct,
5,10/10 Exceptionnel,
6,6/10 Bien,"Chambre propre, mais très petit! Lit enfant non fait à l arrivée, obligé de faire le lit. Personnel gentil. 
"
7,8/10 Très bien,
8,10/10 Exceptionnel,"L’hôtel est magnifique (portes et meubles en partout c’est très joli) la chambre est grande et propre (il y a même un coin thé et café)
Le personnel est accueillant 
Je le recommande vivement"
9,8/10 Très bien,Excellent service et accueil.  Bien situé.  
0,8/10 Très bien,Calme et la proximité des grands magasins parisiens 
1,10/10 Exceptionnel,
2,8/10 Très bien,"Chambre spacieuse, bonne literie, prestations convenables mais prix trop élevé"
3,10/10 Exceptionnel,Excellent sejour
4,6/10 Bien,"Hôtel bien situé mais vétuste, salle de bain hors du temps et moisissure présente en quantité. 
A 17h la chambre n’était pas terminée, nous avons eu un lit bébé taché et en mauvais état. 
Hôtel qui pour moi ne correspond pas à un 3 étoiles "
5,4/10 Correct,"On entend le bruit du métro. La chambre est un peu vieillissante ainsi que la salle de bain.
Le personnel est très sympa"
6,6/10 Bien,"Fenêtres non étanches au bruit. On entend bcp les bruits de la rue. Du coup compliqué de dormir convenablement.
"
7,10/10 Exceptionnel,
8,8/10 Très bien,Un excellent service et accueil. Hôtel propre et bien situé 
9,8/10 Très bien,
0,10/10 Exceptionnel,
1,4/10 Correct,"Au regard du prix de la chambre, nous nous attendions à un autre standing :
- La chambre était au RDC juste derrière la réception.
- Vis à vis sur une chambre en face donc impossible d'ouvrir les rideaux tout en gardant un peu d'intimité.
- Pas de bouteille d'eau, pas de mouchoir en papier, cabinet de toilette très rudimentaire

Le service était en revanche impeccable et le quartier très agréable

"
2,6/10 Bien,
3,8/10 Très bien,"bien situé à Paris. Une seule nuit de repos parfaite.
réceptionniste à l'écoute de vos demandes.
Quartier super sympa."
4,6/10 Bien,"Use to have a shuttle service from/to airport, that does not exist anymore.
Night shift person very nice and friendly.
"
5,2/10 Médiocre,"When I called to change a booking error, the employee was incredibly unhelpful, rude and hung up on me after refusing to make the adjustment. I realize the mistake was mine, but the service provided in attempting to change the situation was abysmal."
6,8/10 Très bien,
7,10/10 Exceptionnel,
8,10/10 Exceptionnel,
9,8/10 Très bien,
0,10/10 Exceptionnel,
1,10/10 Exceptionnel,
2,10/10 Exceptionnel,
3,8/10 Très bien,
4,8/10 Très bien,"très bien pour court séjour, très agréable, propre"
5,10/10 Exceptionnel,"Séjour très agréable, avec un accueil extrêmement sympathique."
6,10/10 Exceptionnel,"Petite chambre minimaliste mais neuve propre et confortable.
Salle de douche un peu petite.
Chambre calme bien qu’en rez de chaussé sur rue"
7,10/10 Exceptionnel,"Personnel très acceuillant, chambre tres propre et lit tres comfortable.
Chambre bien insonorisee ( on etait pourtant au rdc) 
Hotel dans une rue a sens unique dt situé à 5 minutes a pied du metro permettant de deservir l ensemble de la capitale . Il est egalement a proximité de toutes les commodités ( bar , restos, commerces...)
J y retournerai sans hésiter lors d un prochain sejour a Paris"
8,10/10 Exceptionnel,"very good hotel
just the room is small"
9,10/10 Exceptionnel,
0,10/10 Exceptionnel,
1,10/10 Exceptionnel,
2,10/10 Exceptionnel,
3,10/10 Exceptionnel,"1 nuit. Et très satisfait !
Le seul bémol, pas d'eau chaude vers 21h, bizarre. Mais aucun problème la matin.
Chouette le petit dej. sur un 2*"
4,8/10 Très bien,Tout s est bien passé 
5,10/10 Exceptionnel,Accueil cordial. Personnel à l'écoute et arrangeant. 
6,10/10 Exceptionnel,"Très. On accueil.
Bien situé par rapport au lieu de mon séminaire.
De nombreux restaurants et magasins à proximité.
Bien desservie par les transports en commun."
7,8/10 Très bien,"Hôtel bien situé , personnel à l'écoute "
8,8/10 Très bien,
9,10/10 Exceptionnel,Hôtel simple et propre très bien situé près de la station de RER Port Royal. Personnel très accueillant.
0,10/10 Exceptionnel,
1,10/10 Exceptionnel,"J'ai été charmé par cet hôtel tant par sa situation à Paris que sa qualité de literie 
Une tres belle salle de sport est accessible gratuitement 
Un personnel professionnel et surtout tres agréable "
2,6/10 Bien,"Séjour très cher pour le niveau de prestations. Télévision non fonctionnelle (seulement 3 chaines en italien), bruyant (bruit de perceuse à 8h du matin)...
Je n'ai pas testé le petit déjeuner
"
3,10/10 Exceptionnel,"Lieu parfait pour séjour touristique. Cadre moderne et original, très agréable  avec un personnel très disponible."
4,10/10 Exceptionnel,
5,6/10 Bien,"Duplex joli mais simple, pas très grand, literie confortable, excellent petit déjeuner 
"
6,10/10 Exceptionnel,"Nous avons passé 4 nuits. Un accueil au top, le personnel est vraiment très aimable et nous renseigne volontiers si on a des questions.
La climatisation dans les chambres a été bien appréciée. Une station de métro n’est pas bien loin.
Bref, c’est une adresse que nous retiendrons."
7,10/10 Exceptionnel,
8,8/10 Très bien,
9,10/10 Exceptionnel,
0,10/10 Exceptionnel,
1,8/10 Très bien,
2,2/10 Médiocre,
3,6/10 Bien,Bon séjour mais mauvaise note au moment de payer nous avons payé des petits déjeuner 14€ par personne alors que sur le site ils sont indiqués a 12€ …et les petits déjeuner ne sont pas top ! 
4,8/10 Très bien,
5,10/10 Exceptionnel,
6,8/10 Très bien,Dommage petit déjeuner non compris dans notre prix général 
7,8/10 Très bien,"Hôtel très sympathique, idéalement situé. Proche Gare de l’Est et métro poissonnière.
Calme malgré la situation géographique "
8,6/10 Bien,"Réceptionniste très professionnel et à l’écoute du client. Hygiène dans la chambre laisse à désirer. Meubles poussiéreux, cheveux trouvés dans le lit et la salle de bain. Fenêtre pas bien isolée donnant sur la rue et courant d’air d’où chambre pas bien chauffée. Lit confortable mais taie d’oreiller rouge tachée. Situation pratique près de la Gare du Nord."
9,2/10 Médiocre,
0,10/10 Exceptionnel,
1,10/10 Exceptionnel,
2,8/10 Très bien,"Très bien , propre et silencieux "
3,6/10 Bien,"Chambre très petite, Salle de bain très très petite, douche très très très petite. Petit déjeuner moyen. rapport qualité prix médiocre. "
4,10/10 Exceptionnel,
5,10/10 Exceptionnel,
6,8/10 Très bien,
7,8/10 Très bien,
8,8/10 Très bien,"Chambre très petite, avec bruit venant du palier assez mal filtré. Mais sinon, rénovation correcte. "
9,10/10 Exceptionnel,L'acceul et la gentillesse!
0,10/10 Exceptionnel,Petit hôtel sympa et famillial dans un beau quartier près  du Jardin du Luxembourg. 
1,10/10 Exceptionnel,
2,10/10 Exceptionnel,"Hôtel très très bien situé. Propre, confortable et l’accueil était chaleureux,
Je recommande vraiment cet hôtel.
"
3,10/10 Exceptionnel,
4,8/10 Très bien,
5,4/10 Correct,
6,10/10 Exceptionnel,"Hôtel propre , bien situé , a 2 pas du jardin du Luxembourg."
7,8/10 Très bien,"C'était une bonne surprise pour un 2 étoiles. La chambre était grande et confortable,  la salle de bain très bien."
8,8/10 Très bien,
9,10/10 Exceptionnel,
0,8/10 Très bien,"Tout était parfait mais l’insonorisation de la chambre était moyenne. Nous entendions les gens parler dans les autres chambres pendant la nuit et il y avait un bruit récurrent d’écoulement d’eau toute la nuit aussi.
Le service et le déjeuner était extraordinaire. "
1,8/10 Très bien,
2,8/10 Très bien,
3,10/10 Exceptionnel,
4,10/10 Exceptionnel,Tres bon et agreable sejour
5,10/10 Exceptionnel,j'aitais tres satiçfaite de mon séjour à 'l'ecrin sandra club sur toute les couture en effet nous avons passè ma mère ma soeur et moi une semaine forte agréable et je pense iretournai lannèè prochéne inchallah.
6,10/10 Exceptionnel,"Adorable hôtel, plein de charme, bien situé pour les transports en commun.
Délicieux petit déjeuner 
Serviabilité du personnel ...même pour nous aider à sortir de Paris malgré les grèves"
7,10/10 Exceptionnel,
8,4/10 Correct,"Très bel hôtel et très bien situé mais accueil déplorable , par une personne à l’accueil désagréable et peu conciliante. Les chambres refaites sont confortables, problème cependant d’insonorisation . Dommage que le comportement d’une seule personne vous dissuade de revenir. "
9,10/10 Exceptionnel,
0,8/10 Très bien,"Parfait emplacement, en particulier proche de gare De Lyon en bus, ce qui est très pratique quand on est chargé et qu’on veut éviter le métro. Très grande chambre, au calme, confortable avec 2 enfants et très rare à Paris!"
1,4/10 Correct,"Les chambres sont trop petites par rapport au prix payé plus de 350€ par nuit sans petit déjeuner , l emplacement  médiocre  pour se déplacer au centre ville il faut payer plus de 20€ "
2,10/10 Exceptionnel,Top !
3,8/10 Très bien,"Hôtel rénové et superbe, personnel agréable et super bien situé au cœur de Paris "
4,10/10 Exceptionnel,
5,10/10 Exceptionnel,
6,10/10 Exceptionnel,Localisation et service parfaits 
7,10/10 Exceptionnel,"Très bon hôtel, de par sa localisation évidement, mais aussi par la taille des chambres, la déco qui apporte un peu de chaleur, bien isolé des bruits intérieurs et extérieurs, l'accueil pro et courtois. A recommander. Le tout pour un prix contenu (pour Paris). "
8,10/10 Exceptionnel,
9,8/10 Très bien,"Séjour professionnel suite à une réunion tardive à Paris. Bon séjour, chambre confortable bien qu'un peu petite, mais à Paris...."
0,10/10 Exceptionnel,
1,10/10 Exceptionnel,"Hôtel bien situé, très proche du métro dans une rue calme."
2,10/10 Exceptionnel,
3,10/10 Exceptionnel,
4,10/10 Exceptionnel,
5,10/10 Exceptionnel,"2 nuits dans cet hotel c etait parfait!

 L accueil fabuleux!! Aux petits soins. La moindre question...ils sont là pour nous aider! Merci encore à eux! 

L hotel idealement situé! À pied: À 5min des Champs Elysees et de l avenue Montaigne. À 15min de la tour eiffel! 

Chambre deluxe: spacieuse, propre, confortable! "
6,10/10 Exceptionnel,
7,10/10 Exceptionnel,
8,10/10 Exceptionnel,
9,8/10 Très bien,
0,10/10 Exceptionnel,
1,10/10 Exceptionnel,
2,8/10 Très bien,
3,10/10 Exceptionnel,
4,10/10 Exceptionnel,
5,10/10 Exceptionnel,
6,10/10 Exceptionnel,
7,10/10 Exceptionnel,
8,10/10 Exceptionnel,
9,10/10 Exceptionnel,"Hôtel bien placé, proche de grandes avenues.
Calme et propre. 
Surprise à l'arrivée d'un surclasssement dans une chambre plus grande ! 
Très bon séjour."
0,10/10 Exceptionnel,
1,10/10 Exceptionnel,
2,8/10 Très bien,
3,10/10 Exceptionnel,
4,10/10 Exceptionnel,
5,10/10 Exceptionnel,
6,10/10 Exceptionnel,
7,10/10 Exceptionnel,
8,10/10 Exceptionnel,
9,10/10 Exceptionnel,"Hôtel bien placé, proche de grandes avenues.
Calme et propre. 
Surprise à l'arrivée d'un surclasssement dans une chambre plus grande ! 
Très bon séjour."
0,10/10 Exceptionnel,
1,10/10 Exceptionnel,
2,8/10 Très bien,
3,10/10 Exceptionnel,
4,10/10 Exceptionnel,"Chouette hôtel très bien situé. Nous avions réservé 2 chambres ; une donnait sur les Folies Bergères et l'autre donnait côté cour (calme campagnard en plein Paris). Chambres tout confort, salle de bain très propre. 
Personnel très sympathique et serviable. "
5,6/10 Bien,Petit hôtel très cosy à la déco soignée. La chambre était fonctionnelle mais ça reste bizarre d’avoir une partie wc et douche ensemble séparée de la chambre mais le reste de la sdb dans la chambre. Assez bruyant car immeuble ancien mais bon ça en ville à Paris on le sait. Rien de grave. Le vrai hic c’est le petit déjeuner… passez vraiment votre chemin et allez le prendre ailleurs! Tout est industriel même les œufs (infâmes!) et le pain/viennoiseries une seule personne qui doit tout faire malgré le nombre de client. Une seule machine à café. Rapport qualité prix assez élevé au final. 
6,10/10 Exceptionnel,
7,10/10 Exceptionnel,
8,10/10 Exceptionnel,
9,10/10 Exceptionnel,
0,10/10 Exceptionnel,
1,8/10 Très bien,
2,10/10 Exceptionnel,
3,10/10 Exceptionnel,Hôtel très bien situé dans le centre ville de Paris. Hôtel calme propre . Personnel sympathique. Petit déjeuner très bien .
4,10/10 Exceptionnel,
5,10/10 Exceptionnel,"Nous avons passé un très bon séjour. Les conseils de l’hôtel concernant les restaurants proches se sont avérés être de très bonnes recommandations et la sympathie de tous les employés était vraiment très appréciable. 
Cet hôtel est extrêmement bien situé, dans une rue calme à deux pas de tout ce que nous souhaitions faire. Aucune ombre au tableau. "
6,10/10 Exceptionnel,"J'ai séjourné une nuit en chambre pour une personne, lors d'un déplacement professionnel sur Paris. La chambre est petite, toutefois, il ne manque rien. La salle d'eau est de bonne taille, la douche aussi. Je rajouterais une touche de couleur car la chambre est un peu triste, c'est dommage, par exemple un dessus de lit plus coloré. Quelques petits détails rendraient la chambre plus accueillante. Très bon petit déjeuner servi à la place sur un plateau dans une jolie salle en sous-sol. Beaucoup de détails bien pensés comme les programmes des théâtres et expositions dans l'ascenseur. Wifi non testé. Chambre donnant sur la rue, plutôt calme. Personnel très bien. Je reviendrai avec plaisir. Merci pour ce séjour !"
7,4/10 Correct,"Chambre vieillotte et minuscule,. Odeur dans la chambre.
Petit déjeuner continental minimaliste pour le prix, bref pas satisfait de l'ensemble pour un rapport qualité  très moyen."
8,10/10 Exceptionnel,"Tout le personnel est très sympathique et accueillant
Les chambres sont assez grandes 
Petit déjeuner en plateau
"
9,10/10 Exceptionnel,"L’accueil est parfait, pro et chaleureux. La chambre est conforme aux photos et confortable (Hôtels.com indique la présence d’une climatisation, ce qui n’est pas le cas, mais le site de l’hôtel est correct sur ce point). Le petit déjeuner est copieux et servi rapidement, le personnel est là aussi accueillant et ajuste l’offre si nécessaire. La localisation de l’hôtel me convenait tout à fait, le quartier est calme mais attention au bruit de l’école située juste en face le matin si vous ouvrez la fenêtre (fenêtre fermée ce n’est pas dérangeant)."
0,8/10 Très bien,
1,6/10 Bien,"Très bien situé, à proximité de plusieurs lignes de metro, du Louvre et de restaurants. Mais l’insonorisation laisse à désirer. Disons que l’on entant très bien le bruit des autres chambres. "
2,8/10 Très bien,
3,8/10 Très bien,"très bon séjour, hôtel confortable, et au calme à 2 pas du Louvre, petit déjeuner très apprécié , personnel discret"
4,10/10 Exceptionnel,
5,4/10 Correct,Réservation pour une chambre supérieure et nous avons une chambre toute petite: A peine 15m2
6,10/10 Exceptionnel,
7,10/10 Exceptionnel,
8,8/10 Très bien,"Hôtel tranquille , bien placé à proximité de Opéra , du Louvre et de Concorde
Bon petit dej sur place 
Chambre moyennement insonorisée"
9,6/10 Bien,"Douche dans la chambre et non dans une salle de bain, petit déjeuner moyen. "
0,2/10 Médiocre,"Worst customer service I have ever experienced in a hotel.I pre-paid for a single room but when my partner decided to join me, the hotel told us that the original room would accomodate 2 guests. "
1,8/10 Très bien,
2,10/10 Exceptionnel,
3,8/10 Très bien,"Hôtel bien situé dans le 8 eme
Proche gare saint lazare et des restaurants du quartier
Propre mais un peu vieillissant 
Relativement bruyant avec la route et les cloisons trop peu épaisses "
4,8/10 Très bien,
5,10/10 Exceptionnel,Tres bon hôtel que je recommande sans hésiter aux gens de passage à Paris 
6,10/10 Exceptionnel,
7,10/10 Exceptionnel,
8,8/10 Très bien,"bon accueil , la chambre et la salle de bain super propre , hôtel très calme ,l emplacement de l hôtel est proche du Métro et des commerces 
super Hôtel "
9,8/10 Très bien,Chambre relativement propre et relativement confortable mais bien agencée au final. Déco vieillote (moquette passée)
0,10/10 Exceptionnel,chambre bruyante.Ligne de métro en dessous
1,10/10 Exceptionnel,Very nice stay at the Aurore hotel. Walking distance from the train station so very convenient for early or late trains. the staff is very nice and very helpful and always has a smile for you (rare enough to specify when it comes to Paris). the rooms are on the small side but very clean! it is a very great value for the price. 
2,8/10 Très bien,
3,8/10 Très bien,
4,6/10 Bien,"Chambre correcte mais un peu petite. Interdiction de manger dans votre chambre sous peine de menace de supplément, pas de telecommande pour la tv, pas le meilleur quartier pour se restaurer. Accueil sympathique."
5,4/10 Correct,
6,8/10 Très bien,"Séjour d'une nuit en transit, chambre et service agréable seul bémol le bruit de la rue beaucoup trop audible à mon goût !"
7,6/10 Bien,"Je nai rien a dire sur l'accueil ou encore la qualite  du petit déjeuner. Je n'ai toutefois pas passer une très bonne nuit.
En effet ayant une chambre au 1er étage, j'ai entendu et subis le bruit et tremblement correspondant au métro (ou RER)."
8,10/10 Exceptionnel,Très bon hôtel 
9,10/10 Exceptionnel,"hotel Propre, calme, renovation récente. Personnel a l'acceuil sympa !"
0,10/10 Exceptionnel,
1,10/10 Exceptionnel,Petit hôtel accueillant et bien décoré. Très bon Petit déjeuner. 
2,8/10 Très bien,
3,2/10 Médiocre,Accueil exécrable. La femme de la réception  est d'une humeur totalement horrible et n'est pas du tout professionnelle. Un air un peu trop hautain. Hôtel sans plus. Je n'y reviendrai plus et déconseille. Chambre petite et ascenseur minuscule
4,8/10 Très bien,"Excellent accueil 
Propreté ++
Un peu de bruit car établissement voisin en travaux "
5,10/10 Exceptionnel,
6,10/10 Exceptionnel,"Personnel très agréable, chambre soignée et propre."
7,8/10 Très bien,
8,8/10 Très bien,
9,10/10 Exceptionnel,"Très bon accueil. Hôtel impeccable et idéalement situé. 
Petit déjeuner copieux. "
0,10/10 Exceptionnel,
1,8/10 Très bien,Un hotel au top. Sure je reviendrai car nous avons trop aimé 
2,8/10 Très bien,
3,10/10 Exceptionnel,
4,10/10 Exceptionnel,
5,10/10 Exceptionnel,
6,2/10 Médiocre,
7,10/10 Exceptionnel,
8,10/10 Exceptionnel,"Nous avons passé un tres bon séjour en famille dans cet Hôtel. Nous avons eu un très bon accueil,  le monsieur était  charmant et sympa. La chambre etait propre et confortable, le petit dejeuner etait tres bien aussi. J'y reviendrai."
9,10/10 Exceptionnel,
0,8/10 Très bien,
1,10/10 Exceptionnel,
2,8/10 Très bien,
3,10/10 Exceptionnel,
4,10/10 Exceptionnel,"Très joli hôtel, la chambre est spacieuse avec une literie de très bonne qualité. 
Une salle de bain équipée d'une douche séparée 
Emplacement idéal 
Le petit déjeuner exceptionnel avec une vue panoramique sur Paris"
5,10/10 Exceptionnel,"Excellent établissement, un accueil parfait par Léa et tout le personnel . Une loge à la hauteur de la réputation de l’hôtel. Un séjour inoubliable."
6,8/10 Très bien,
7,10/10 Exceptionnel,"Une vue superbe de Paris du haut de la terrasse ou du restaurant. Un service au niveau. Seul bémol, le parking car inexistant."
8,8/10 Très bien,"Hôtel très convenable et très bien placé.
Mal insonorisé car même au 4ème etage nous entendions la circulation. 
Belle chambre et beaux espaces.
Belle vue panoramique du restaurant."
9,10/10 Exceptionnel,"Week-end fantastique  hotel tres bien placé  à proximité des transports  ,restaurants, monuments, etc."
0,10/10 Exceptionnel,Tres bon le es belle adresse juli
1,10/10 Exceptionnel,
2,10/10 Exceptionnel,
3,10/10 Exceptionnel,Had a very nice stay. I would stay here again and recommend to others.
4,10/10 Exceptionnel,"We had a great stay for one night at the Milie Rose.  Normally don't sleep well in hotels but had a brilliant sleep.  Yes the rooms are small but it is not an issue for a few nights.  The staff is extremely nice and make sure you have everything you need.  Also brilliant breakfast, there is everything you need.  I would definitely go back there."
5,8/10 Très bien,"The staff are very accommodating. They will do anything to make your stay better. This is a small boutique hotel. The drawbacks for me were just that they only have food on premises for breakfast and it would be nice to have some option for snacks during the day and night, if you’re jet lagged. You will have to order delivery. But again, the staff are very accommodating if you do order takeout. 

The rooms are small, but that’s not uncommon in Paris and honestly big enough for a short visit. The rooms are clean though. The neighborhood isn’t great. It looks a little dicey but there are tons of places to eat nearby and there is a supermarket only steps away. "
6,10/10 Exceptionnel,
7,10/10 Exceptionnel,"Zimmer Top , Service Top , Würde ich wieder Buchen"
8,8/10 Très bien,Muy lindo pero muy pequeño
9,10/10 Exceptionnel,
0,6/10 Bien,
1,10/10 Exceptionnel,
2,10/10 Exceptionnel,
3,6/10 Bien,
4,8/10 Très bien,"Personnel très accueillant, hôtel très bien situé en plein cœur de St germain et à proximité du quartier latin "
5,8/10 Très bien,
6,8/10 Très bien,
7,10/10 Exceptionnel,Propre calme très très bien situé 
8,10/10 Exceptionnel,Calme central propre 
9,10/10 Exceptionnel,
0,10/10 Exceptionnel,"Personnel vraiment super accueillant et gentil ! Ça fait plaisir car cela devient rare.
Hôtel très propre, chambre pas trop petites pour Paris. Mini bar offert et café offert.
Petits détails à changer pour être l'hôtel parfait: jolie diversité au petit déjeuner mais rien n'est fait maison, et les viennoiseries ne sont pas tops.
Merci encore. "
1,8/10 Très bien,
2,2/10 Médiocre,Allez ailleurs
3,8/10 Très bien,"Bon sejour la chambre est propre et bien decoree et il y a un buffet boissons froides boissons chaudes fruits gateaux... a volonte toute la journée 
Tres bien place pour une soiree au moulon rouge "
4,10/10 Exceptionnel,"Tout était parfait.
Le personnel serviable et très gentil."
5,10/10 Exceptionnel,
6,10/10 Exceptionnel,"Très bien placé, agréable "
7,10/10 Exceptionnel,
8,10/10 Exceptionnel,
9,10/10 Exceptionnel,"Hôtel très agréable , le personnel est super accueillant, très propre .
"
0,10/10 Exceptionnel,
1,8/10 Très bien,
2,10/10 Exceptionnel,Superbe accueil   personnel très pro
3,8/10 Très bien,
4,4/10 Correct,We arrived at the hotel at 7 minutes to 3pm and were told we could not check in as check in was at 3pm. When we did check in the process seemed to take a long time. We had to call reception to get hot water to our room. The bed was very small and the plumbing pipes were noisy all night. They also requested we leave the key to our room at the hotel when we went out and it would be kept in an unlocked cupboard in the foyer. We did not feel our room would be secure if we did this.
5,8/10 Très bien,"Buon Hotel vicino alla stazione Metro, nel mezzo del vivo quartiere Latino di Parigi. Confortevole, buono lo staff cordiale e disponibile. Buona anche la colazione  nel nostro caso inclusa nel prezzo della family room per 4 persone. Qualche area dell'Hotel necessiterebbe qualche upgrade ma nel complesso esperienza positiva "
6,8/10 Très bien,
7,10/10 Exceptionnel,
8,6/10 Bien,"Goede ligging, kleine kamers en eerder beperkt ontbijt"
9,8/10 Très bien,"Dass Hotel war von der Lage sehr gut.
Leider war dass Zimmer sehr klein.
Der Service war fantastisch!
Super Lage nahe Bistros Läden und Restaurants "
0,8/10 Très bien,
